Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,Value
1990,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-1.5902
1991,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-5.28175
1992,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-8.93125
1993,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-1.76159
1994,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-6.15945
2009,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-7.55726
2010,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-13.74716
2011,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-19.49747
2012,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-13.30762
2013,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-13.87438
2014,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-11.97115
2015,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-7.9981
2016,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-3.39414
2017,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-1.54218
2018,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-7.6157
2019,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",4.77317
2020,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",6.07307
1977,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",8266252.61915
1978,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",8298459.78759
1979,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",8817083.54784
1980,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",27429506.10526
1981,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",29969773.25748
1982,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",46765766.14197
1983,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",42646910.07123
1984,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-2832264.62935
1985,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-9088768.20469
1986,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-1253429.52028
1987,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-909924.57284
1988,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",60794326.47112
1989,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",36669757.71756
1990,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",21662734.84846
1991,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-7268593.00638
1992,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",9475544.8434
1993,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",5083123.98834
1994,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-50100172.25647
2009,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-67000000.0
2010,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-63090000.0
2011,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-10000000.0
2012,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-99200000.0
2013,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-114200000.0
2014,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-130300000.0
2015,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-122800000.0
2016,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",80061343.26
2017,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",100881819.3
2018,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-54730161.6159
2019,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-3718164.36619
2020,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",81646526.10036
1970,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.99087
1971,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",1.00243
1972,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.87724
1973,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.92133
1974,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.83748
1975,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.66044
1976,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.67363
1977,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",-0.08742
1978,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.05789
1979,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.00284
1980,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.0232
1981,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.04426
1982,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",-0.00985
1983,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",-0.02672
1984,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",-0.03917
1985,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.05053
1986,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.11974
1987,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",-0.45254
1988,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",-0.23076
1989,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",-0.12286
1990,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",-0.13896
1991,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.03229
1992,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.22143
1993,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.4259
1994,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.50284
1995,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",1.65512
1996,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.94585
1997,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",1.5839
1998,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",6.94005
1999,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.86031
2000,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.34679
2001,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.05607
2002,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.40838
2003,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.06635
2004,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.14986
2005,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",1.78621
2006,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",0.73477
2007,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",1.30198
2008,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",1.16856
2009,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",1.08631
